Hours,Hourly Data: euro/MWh
0.5,145.5200061630847
1.5,145.5200061630847
2.5,145.5200061630847
3.5,145.5200061630847
4.5,145.5200061630847
5.5,145.5200061630847
6.5,145.5200061630847
7.5,145.5200061630847
8.5,145.5200061630847
9.5,145.5200061630847
10.5,145.5200061630847
11.5,145.5200061630847
12.5,145.5200061630847
13.5,145.5200061630847
14.5,145.5200061630847
15.5,145.5200061630847
16.5,145.5200061630847
17.5,145.5200061630847
18.5,145.5200061630847
19.5,145.5200061630847
20.5,145.5200061630847
21.5,145.5200061630847
22.5,145.5200061630847
23.5,145.5200061630847
24.5,148.7462769092121
25.5,148.7462769092121
26.5,148.7462769092121
27.5,148.7462769092121
28.5,148.7462769092121
29.5,148.7462769092121
30.5,148.7462769092121
31.5,148.7462769092121
32.5,148.7462769092121
33.5,148.7462769092121
34.5,148.7462769092121
35.5,148.7462769092121
36.5,148.7462769092121
37.5,148.7462769092121
38.5,148.7462769092121
39.5,148.7462769092121
40.5,148.7462769092121
41.5,148.7462769092121
42.5,148.7462769092121
43.5,148.7462769092121
44.5,148.7462769092121
45.5,148.7462769092121
46.5,148.7462769092121
47.5,148.7462769092121
48.5,118.58280966469174
49.5,118.58280966469174
50.5,118.58280966469174
51.5,118.58280966469174
52.5,118.58280966469174
53.5,118.58280966469174
54.5,118.58280966469174
55.5,118.58280966469174
56.5,118.58280966469174
57.5,118.58280966469174
58.5,118.58280966469174
59.5,118.58280966469174
60.5,118.58280966469174
61.5,118.58280966469174
62.5,118.58280966469174
63.5,118.58280966469174
64.5,118.58280966469174
65.5,118.58280966469174
66.5,118.58280966469174
67.5,118.58280966469174
68.5,118.58280966469174
69.5,118.58280966469174
70.5,118.58280966469174
71.5,118.58280966469174
72.5,109.65062027106687
73.5,109.65062027106687
74.5,109.65062027106687
75.5,109.65062027106687
76.5,109.65062027106687
77.5,109.65062027106687
78.5,109.65062027106687
79.5,109.65062027106687
80.5,109.65062027106687
81.5,109.65062027106687
82.5,109.65062027106687
83.5,109.65062027106687
84.5,109.65062027106687
85.5,109.65062027106687
86.5,109.65062027106687
87.5,109.65062027106687
88.5,109.65062027106687
89.5,109.65062027106687
90.5,109.65062027106687
91.5,109.65062027106687
92.5,109.65062027106687
93.5,109.65062027106687
94.5,109.65062027106687
95.5,109.65062027106687
96.5,133.0800169756175
97.5,133.0800169756175
98.5,133.0800169756175
99.5,133.0800169756175
100.5,133.0800169756175
101.5,133.0800169756175
102.5,133.0800169756175
103.5,133.0800169756175
104.5,133.0800169756175
105.5,133.0800169756175
106.5,133.0800169756175
107.5,133.0800169756175
108.5,133.0800169756175
109.5,133.0800169756175
110.5,133.0800169756175
111.5,133.0800169756175
